time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:41:31.051212,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.151391,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.251408,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.351384,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.451348,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.551373,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.651297,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.751319,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.851475,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:31.951223,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.051465,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.151449,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.251294,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.351466,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.451419,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.551379,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.651232,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.751352,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.851134,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:32.951432,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.051269,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.151183,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.251394,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.351385,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.451299,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.551465,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.651281,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.751376,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.851255,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:33.951313,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.051199,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.151249,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.251405,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.351488,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.451233,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.551220,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.651469,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.751281,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.851219,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:34.951210,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.051286,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.151304,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.251328,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.351270,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.451329,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.551382,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.651351,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.751190,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.851325,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:35.951633,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.051286,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.151231,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.251303,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.351341,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.451389,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.551240,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.651141,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.751359,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.851566,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:36.951257,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.051413,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.151271,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.251272,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.351365,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.451187,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.551239,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.651305,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.751326,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.851298,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:37.951266,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.051338,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.151164,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.251233,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.351453,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.451252,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.551266,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.651233,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:38.751332,0,2.0,0.0,0.0,0,0,0,0,0
