time,.data
2019/04/05/17:07:38.294818,LR-416
2019/04/05/17:07:38.414965,LR-832
2019/04/05/17:07:38.504997,LR-832
2019/04/05/17:07:38.635017,LR0
2019/04/05/17:07:38.665064,LR-416
2019/04/05/17:07:38.755077,LR-416
2019/04/05/17:07:38.825169,LR0
2019/04/05/17:07:38.875022,LR-416
2019/04/05/17:07:38.975049,LR0
2019/04/05/17:07:39.004786,LR-416
2019/04/05/17:07:39.104841,LR0
2019/04/05/17:07:39.144757,LR0
2019/04/05/17:07:39.184970,LR0
2019/04/05/17:07:39.224829,LR0
2019/04/05/17:07:39.264882,LR0
2019/04/05/17:07:39.304977,LR0
2019/04/05/17:07:39.345047,LR832
2019/04/05/17:07:39.434890,LR0
2019/04/05/17:07:39.474919,LR832
2019/04/05/17:07:39.555016,LR208
2019/04/05/17:07:39.625030,LR208
2019/04/05/17:07:39.715032,LR0
2019/04/05/17:07:39.755165,LR832
2019/04/05/17:07:39.854804,LR208
2019/04/05/17:07:39.934922,LR832
2019/04/05/17:07:40.054962,LR208
2019/04/05/17:07:40.134935,LR0
2019/04/05/17:07:40.165054,LR-416
2019/04/05/17:07:40.284823,LR-416
2019/04/05/17:07:40.404952,LR-416
2019/04/05/17:07:40.504820,LR-832
2019/04/05/17:07:40.584895,LR-832
2019/04/05/17:07:40.714781,LR0
2019/04/05/17:07:40.754979,LR-416
2019/04/05/17:07:40.824800,LR0
2019/04/05/17:07:40.864914,LR-416
2019/04/05/17:07:40.964847,LR832
2019/04/05/17:07:41.074931,LR208
2019/04/05/17:07:41.145071,LR208
2019/04/05/17:07:41.215020,LR0
2019/04/05/17:07:41.245005,LR208
2019/04/05/17:07:41.314908,LR208
2019/04/05/17:07:41.384850,LR0
2019/04/05/17:07:41.414962,LR208
2019/04/05/17:07:41.495095,LR-416
2019/04/05/17:07:41.614975,LR832
2019/04/05/17:07:41.735020,LR-416
2019/04/05/17:07:41.805238,LR0
2019/04/05/17:07:41.854914,LR0
2019/04/05/17:07:41.885138,LR208
2019/04/05/17:07:41.965100,LR0
2019/04/05/17:07:42.005103,LR0
2019/04/05/17:07:42.044838,LR-416
2019/04/05/17:07:42.164989,LR-416
2019/04/05/17:07:42.285370,LR0
2019/04/05/17:07:42.315231,LR208
2019/04/05/17:07:42.384958,LR0
2019/04/05/17:07:42.425009,LR208
2019/04/05/17:07:42.495106,LR-416
2019/04/05/17:07:42.625088,LR208
2019/04/05/17:07:42.695723,LR208
2019/04/05/17:07:42.764899,LR208
2019/04/05/17:07:42.835030,LR832
2019/04/05/17:07:42.924969,LR-416
2019/04/05/17:07:43.014960,LR208
2019/04/05/17:07:43.084747,LR208
2019/04/05/17:07:43.174983,LR208
2019/04/05/17:07:43.254925,LR0
2019/04/05/17:07:43.294974,LR-416
2019/04/05/17:07:43.395023,LR208
