time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:39:08.131475,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.231224,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.331215,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.431342,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.531163,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.631423,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.731436,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.831426,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:08.931082,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.031238,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.131727,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.231317,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.331406,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.431493,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.531456,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.631121,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.731268,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.831249,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:09.931298,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.031208,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.131321,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.231401,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.331367,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.431186,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.531434,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.631462,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.731202,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.831168,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:10.931309,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.031359,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.131458,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.231610,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.331376,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.431331,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.531252,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.631175,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.731228,0,2.0,0.0,0.0,0,0,0,0,0
