time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/17:20:56.074738,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.174594,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.274784,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.374920,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.474720,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.574829,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.674653,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.774818,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.874722,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:56.974743,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.074747,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.174803,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.274703,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.374681,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.474891,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.574806,127,2.0,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.674879,127,2.13460111618,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.774849,127,2.37989330292,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.874730,127,2.62899136543,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:57.974839,127,2.88000011444,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.074808,127,3.13100862503,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.174851,127,3.38010668755,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.274909,127,3.62539887428,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.374820,127,3.86501812935,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.474648,127,4.09714078903,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.574841,127,4.32000017166,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.674682,127,4.53189992905,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.774768,127,4.73122835159,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.874938,127,4.91646766663,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:58.974736,127,5.08620786667,-10.0,0.0,0,0,0,0,0
2019/04/05/17:20:59.074755,127,5.2391576767,-10.0,0.0,0,0,0,0,0
