time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/17:20:45.086553,0,2.07999992371,-4.0,0.0,1,0,0,0,0
2019/04/05/17:20:45.096637,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.106773,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.116570,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.126616,0,2.07999992371,-4.0,0.0,1,0,0,0,0
2019/04/05/17:20:45.136766,0,2.07999992371,-3.5,0.0,1,0,0,0,0
2019/04/05/17:20:45.146737,0,2.07999992371,-3.5,0.0,1,0,0,0,0
2019/04/05/17:20:45.156738,0,2.07999992371,-3.8,0.0,1,0,0,0,0
2019/04/05/17:20:45.166727,0,2.07999992371,-3.8,0.0,1,0,0,0,0
2019/04/05/17:20:45.176701,0,2.07999992371,-4.0,0.0,1,0,0,0,0
2019/04/05/17:20:45.186800,0,2.07999992371,-4.2,0.0,1,0,0,0,0
2019/04/05/17:20:45.196709,0,2.07999992371,-4.2,0.0,1,0,0,0,0
2019/04/05/17:20:45.207914,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.216814,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.226774,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.237029,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.246716,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.256727,0,2.07999992371,-4.2,0.0,1,0,0,0,0
2019/04/05/17:20:45.266743,0,2.07999992371,-4.2,0.0,1,0,0,0,0
2019/04/05/17:20:45.276710,0,2.07999992371,-4.2,0.0,1,0,0,0,0
2019/04/05/17:20:45.286670,0,2.07999992371,-3.8,0.0,1,0,0,0,0
2019/04/05/17:20:45.296501,0,2.07999992371,-3.8,0.0,1,0,0,0,0
2019/04/05/17:20:45.306592,0,2.07999992371,-3.8,0.0,1,0,0,0,0
2019/04/05/17:20:45.316904,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.326769,0,2.07999992371,-3.6,0.0,1,0,0,0,0
2019/04/05/17:20:45.336700,0,2.07999992371,-3.8,0.0,1,0,0,0,0
2019/04/05/17:20:45.346595,0,2.07999992371,-3.8,0.0,1,0,0,0,0
2019/04/05/17:20:45.356610,0,2.07999992371,-3.8,0.0,1,0,0,0,0
