time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/17:07:46.226866,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:46.326818,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:46.426773,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:46.526670,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:46.626659,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:46.726836,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:46.826827,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:46.926757,127,2.0,0.8715574275,0.0,0,0,0,0,0
2019/04/05/17:07:47.026745,127,2.0,1.7364817767,0.0,0,0,0,0,0
2019/04/05/17:07:47.126710,127,2.0,2.588190451,0.0,0,0,0,0,0
2019/04/05/17:07:47.226733,127,2.0,3.4202014333,0.0,0,0,0,0,0
2019/04/05/17:07:47.326750,127,2.0,4.2261826174,0.0,0,0,0,0,0
2019/04/05/17:07:47.426695,127,2.0,5.0,0.0,0,0,0,0,0
2019/04/05/17:07:47.526712,127,2.0,5.7357643635,0.0,0,0,0,0,0
2019/04/05/17:07:47.626817,127,2.0,6.4278760969,0.0,0,0,0,0,0
2019/04/05/17:07:47.726779,127,2.0,7.0710678119,0.0,0,0,0,0,0
2019/04/05/17:07:47.826794,127,2.0,7.6604444312,0.0,0,0,0,0,0
2019/04/05/17:07:47.926732,127,2.0,8.1915204429,0.0,0,0,0,0,0
2019/04/05/17:07:48.026892,127,2.0,8.6602540378,0.0,0,0,0,0,0
2019/04/05/17:07:48.126755,127,2.0,9.0630778704,0.0,0,0,0,0,0
2019/04/05/17:07:48.226711,127,2.0,9.3969262079,0.0,0,0,0,0,0
2019/04/05/17:07:48.326634,127,2.13460111618,9.6592582629,0.0,0,0,0,0,0
2019/04/05/17:07:48.426717,127,2.37989330292,9.8480775301,0.0,0,0,0,0,0
2019/04/05/17:07:48.526827,127,2.62899136543,9.9619469809,0.0,0,0,0,0,0
2019/04/05/17:07:48.626960,127,2.88000011444,10.0,0.0,0,0,0,0,0
2019/04/05/17:07:48.726965,127,3.13100862503,9.9619469809,0.0,0,0,0,0,0
2019/04/05/17:07:48.827196,127,3.38010668755,9.8480775301,0.0,0,0,0,0,0
2019/04/05/17:07:48.926876,127,3.62539887428,9.6592582629,0.0,0,0,0,0,0
2019/04/05/17:07:49.026672,127,3.86501812935,9.3969262079,0.0,0,0,0,0,0
2019/04/05/17:07:49.126932,127,4.09714078903,9.0630778704,0.0,0,0,0,0,0
2019/04/05/17:07:49.226774,127,4.32000017166,8.6602540378,0.0,0,0,0,0,0
2019/04/05/17:07:49.326779,127,4.53189992905,8.1915204429,0.0,0,0,0,0,0
2019/04/05/17:07:49.427138,127,4.73122835159,7.6604444312,0.0,0,0,0,0,0
2019/04/05/17:07:49.526720,127,4.91646766663,7.0710678119,0.0,0,0,0,0,0
2019/04/05/17:07:49.626874,127,5.08620786667,6.4278760969,0.0,0,0,0,0,0
2019/04/05/17:07:49.726740,127,5.2391576767,5.7357643635,0.0,0,0,0,0,0
2019/04/05/17:07:49.826732,127,5.37415313721,5.0,0.0,0,0,0,0,0
2019/04/05/17:07:49.926700,127,5.49016666412,4.2261826174,0.0,0,0,0,0,0
2019/04/05/17:07:50.026713,127,5.58631467819,3.4202014333,0.0,0,0,0,0,0
2019/04/05/17:07:50.126769,127,5.66186618805,2.588190451,0.0,0,0,0,0,0
2019/04/05/17:07:50.226785,127,5.71624612808,1.7364817767,0.0,0,0,0,0,0
2019/04/05/17:07:50.326683,127,5.74904060364,0.8715574275,0.0,0,0,0,0,0
2019/04/05/17:07:50.426858,127,5.76000022888,0.0,0.0,0,0,0,0,0
2019/04/05/17:07:50.526746,127,5.74904060364,-0.8715574275,0.0,0,0,0,0,0
2019/04/05/17:07:50.626932,127,5.71624612808,-1.7364817767,0.0,0,0,0,0,0
2019/04/05/17:07:50.726666,127,5.66186618805,-2.588190451,0.0,0,0,0,0,0
2019/04/05/17:07:50.826701,127,5.58631467819,-3.4202014333,0.0,0,0,0,0,0
2019/04/05/17:07:50.926736,127,5.49016666412,-4.2261826174,0.0,0,0,0,0,0
2019/04/05/17:07:51.026729,127,5.37415313721,-5.0,0.0,0,0,0,0,0
2019/04/05/17:07:51.126824,127,5.2391576767,-5.7357643635,0.0,0,0,0,0,0
2019/04/05/17:07:51.226705,127,5.08620786667,-6.4278760969,0.0,0,0,0,0,0
2019/04/05/17:07:51.326823,127,4.91646766663,-7.0710678119,0.0,0,0,0,0,0
2019/04/05/17:07:51.426828,127,4.73122835159,-7.6604444312,0.0,0,0,0,0,0
2019/04/05/17:07:51.527107,127,4.53189992905,-8.1915204429,0.0,0,0,0,0,0
2019/04/05/17:07:51.626945,127,4.32000017166,-8.6602540378,0.0,0,0,0,0,0
2019/04/05/17:07:51.726717,127,4.09714078903,-9.0630778704,0.0,0,0,0,0,0
2019/04/05/17:07:51.826723,127,3.86501812935,-9.3969262079,0.0,0,0,0,0,0
2019/04/05/17:07:51.926784,127,3.62539887428,-9.6592582629,0.0,0,0,0,0,0
2019/04/05/17:07:52.026666,127,3.38010668755,-9.8480775301,0.0,0,0,0,0,0
2019/04/05/17:07:52.126741,127,3.13100862503,-9.9619469809,0.0,0,0,0,0,0
2019/04/05/17:07:52.226832,127,2.88000011444,-10.0,0.0,0,0,0,0,0
2019/04/05/17:07:52.326691,127,2.62899136543,-9.9619469809,0.0,0,0,0,0,0
2019/04/05/17:07:52.427024,127,2.37989330292,-9.8480775301,0.0,0,0,0,0,0
2019/04/05/17:07:52.526732,127,2.13460111618,-9.6592582629,0.0,0,0,0,0,0
2019/04/05/17:07:52.626728,127,2.0,-9.3969262079,0.0,0,0,0,0,0
2019/04/05/17:07:52.726850,127,2.0,-9.0630778704,0.0,0,0,0,0,0
2019/04/05/17:07:52.826775,127,2.0,-8.6602540378,0.0,0,0,0,0,0
2019/04/05/17:07:52.926736,127,2.0,-8.1915204429,0.0,0,0,0,0,0
2019/04/05/17:07:53.026792,127,2.0,-7.6604444312,0.0,0,0,0,0,0
2019/04/05/17:07:53.126681,127,2.0,-7.0710678119,0.0,0,0,0,0,0
2019/04/05/17:07:53.226759,127,2.0,-6.4278760969,0.0,0,0,0,0,0
