time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/17:07:38.236727,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.246746,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.256765,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.266728,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.276716,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.286882,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.296646,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/17:07:38.306741,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.316726,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.326783,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/17:07:38.336715,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.346779,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.356754,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.366732,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.376569,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.386798,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.396744,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.406723,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.416661,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.426767,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.436728,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/17:07:38.446706,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.456748,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.466765,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.476802,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.486621,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.496805,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.506667,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.516725,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.526788,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.536734,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/17:07:38.546606,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.556499,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.566523,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.576625,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.586690,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.596718,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.606720,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.616638,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.626674,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.636683,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.646565,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.656690,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.666645,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.676640,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.686726,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/17:07:38.696691,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/17:07:38.706686,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/17:07:38.716776,0,2.07999992371,-0.2,0.0,1,0,0,0,0
