time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:38:48.366746,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.376726,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.386662,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.396729,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.406704,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.416687,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.426703,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.436740,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.446741,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.456723,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.466700,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.476727,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.486759,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.496737,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.506768,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.516758,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.526722,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.536682,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.546755,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.556578,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.566753,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.576726,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.586704,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.596734,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.606718,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.616686,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.626798,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.636730,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.646735,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.656564,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.666746,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.676723,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.686740,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.696708,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.706755,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.716711,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.726719,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.736640,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.746728,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.756640,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.766692,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.776715,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.786740,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.796602,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.806772,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.816672,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.826699,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.836682,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.846744,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.856564,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.866743,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.876704,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.886669,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.896712,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.906762,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.916741,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.926756,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.936607,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.946737,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.956715,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.966710,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.976660,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.986593,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.996723,0,2.07999992371,-0.5,0.0,1,0,0,0,0
